Model,ROUGE-1,ROUGE-2,ROUGE-L
qwen2.5-7b,0.3686,0.1728,0.3126
llama2-7b,0.1752,0.0562,0.1371
llama3.1-8b,0.1802,0.0649,0.1442
mistral-7b,0.1646,0.0504,0.1291
