Model,ROUGE-1,ROUGE-2,ROUGE-L
llama2,0.4136,0.1557,0.2436
qwen2.5-7b,0.3722,0.1248,0.2288
llama2-7b,0.2671,0.099,0.1888
llama3.1-8b,0.0067,0.0025,0.004
mistral-7b,0.2269,0.0702,0.1475
