model_id,rouge1_f,rouge2_f,rougeL_f
llama2-7b,0.3081,0.1114,0.1926
llama3.1-8b,0.3572,0.137,0.2234
qwen2.5-7b,0.3978,0.1477,0.2421
mistral-7b,0.3658,0.143,0.2261
