Model,ROUGE-1,ROUGE-2,ROUGE-L
qwen2.5-7b,0.1415,0.0261,0.134
llama2-7b,0.1139,0.0306,0.1018
llama3.1-8b,0.1049,0.0274,0.0928
mistral-7b,0.1047,0.0295,0.0928
