model_id,rouge1_f,rouge2_f,rougeL_f
llama2-7b,0.2117,0.0452,0.1572
llama3.1-8b,0.1709,0.0309,0.1218
qwen2.5-7b,0.2022,0.0545,0.1408
mistral-7b,0.2145,0.0513,0.1631
